"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"307","uk_G1_700427",1,"40-49",1,1
"308","uk_G1_700428",8,"70-120",8,8
"309","uk_G1_700430",7,"60-69",7,7
"310","uk_G1_700431",22,"50-59",20,22
"311","uk_G1_700434",2,"30-39",2,2
"312","uk_G1_700435",1,"70-120",1,1
"313","uk_G1_700436",1,"60-69",1,1
"314","uk_G1_700437",9,"40-49",9,9
"315","uk_G1_700438",4,"70-120",4,4
"316","uk_G1_700439",7,"60-69",7,7
"317","uk_G1_700441",151,"70-120",20,100
"318","uk_G1_700442",1,"60-69",1,1
"319","uk_G1_700443",4,"50-59",4,4
"320","uk_G1_700444",1,"40-49",1,1
"321","uk_G1_700445",9,"40-49",9,9
"322","uk_G1_700446",3,"40-49",3,3
"323","uk_G1_700447",4,"30-39",4,4
"324","uk_G1_700448",2,"50-59",2,2
"325","uk_G1_700449",3,"40-49",3,3
"326","uk_G1_700454",4,"40-49",4,4
"327","uk_G1_700455",1,"70-120",1,1
"328","uk_G1_700456",4,"50-59",4,4
"329","uk_G1_700457",12,"50-59",12,12
"330","uk_G1_700458",18,"60-69",18,18
"331","uk_G1_700459",1,"60-69",1,1
"332","uk_G1_700460",6,"50-59",6,6
"333","uk_G1_700461",1,"60-69",1,1
"334","uk_G1_700462",2,"70-120",2,2
"335","uk_G1_700463",2,"50-59",2,2
"336","uk_G1_700464",1,"40-49",1,1
"337","uk_G1_700465",3,"70-120",3,3
"338","uk_G1_700468",1,"70-120",1,1
"339","uk_G1_700469",1,"40-49",1,1
"340","uk_G1_700470",1,"60-69",1,1
"341","uk_G1_700471",1,"70-120",1,1
"342","uk_G1_700472",14,"60-69",14,14
"343","uk_G1_700473",2,"70-120",2,2
"344","uk_G1_700474",1,"70-120",1,1
"345","uk_G1_700475",2,"60-69",2,2
"346","uk_G1_700477",7,"40-49",7,7
"347","uk_G1_700478",14,"60-69",14,14
"348","uk_G1_700479",2,"30-39",2,2
"349","uk_G1_700480",6,"60-69",6,6
"350","uk_G1_700481",4,"70-120",4,4
"351","uk_G1_700482",7,"70-120",7,7
"352","uk_G1_700483",1,"30-39",1,1
"353","uk_G1_700484",1,"70-120",1,1
"354","uk_G1_700485",1,"30-39",1,1
"355","uk_G1_700486",6,"50-59",6,6
"356","uk_G1_700487",1,"40-49",1,1
"357","uk_G1_700488",3,"50-59",3,3
"358","uk_G1_700489",3,"40-49",3,3
"359","uk_G1_700490",3,"40-49",3,3
"360","uk_G1_700491",2,"30-39",2,2
"361","uk_G1_700492",2,"70-120",2,2
"362","uk_G1_700493",1,"70-120",1,1
"363","uk_G1_700495",3,"60-69",3,3
"364","uk_G1_700496",18,"60-69",18,18
"365","uk_G1_700497",1,"70-120",1,1
"366","uk_G1_700498",2,"18-29",2,2
"367","uk_G1_700499",1,"30-39",1,1
"368","uk_G1_700500",3,"30-39",3,3
"369","uk_G1_700501",4,"40-49",4,4
"370","uk_G1_700502",7,"60-69",7,7
"371","uk_G1_700503",9,"60-69",9,9
"372","uk_G1_700504",3,"40-49",3,3
"373","uk_G1_700505",2,"40-49",2,2
"374","uk_G1_700506",356,"50-59",20,100
"375","uk_G1_700507",3,"60-69",3,3
"376","uk_G1_700508",69,"50-59",20,69
"377","uk_G1_700509",2,"40-49",2,2
"378","uk_G1_700510",5,"30-39",5,5
"379","uk_G1_700511",1,"40-49",1,1
"380","uk_G1_700512",1,"18-29",1,1
"381","uk_G1_700513",6,"70-120",6,6
"382","uk_G1_700514",1,"60-69",1,1
"383","uk_G1_700516",3,"30-39",3,3
"384","uk_G1_700517",4,"40-49",4,4
"385","uk_G1_700519",14,"40-49",14,14
"386","uk_G1_700521",1,"50-59",1,1
"387","uk_G1_700522",1,"40-49",1,1
"388","uk_G1_700523",4,"18-29",4,4
"389","uk_G1_700524",3,"60-69",3,3
"390","uk_G1_700525",7,"50-59",7,7
"391","uk_G1_700526",1,"60-69",1,1
"392","uk_G1_700527",16,"30-39",16,16
"393","uk_G1_700529",4,"60-69",4,4
"394","uk_G1_700530",1,"70-120",1,1
"395","uk_G1_700531",11,"60-69",11,11
"396","uk_G1_700532",24,"50-59",20,24
"397","uk_G1_700534",4,"50-59",4,4
"398","uk_G1_700536",10,"40-49",10,10
"399","uk_G1_700537",2,"70-120",2,2
"400","uk_G1_700538",2,"70-120",2,2
"401","uk_G1_700539",1,"70-120",1,1
"402","uk_G1_700540",1,"60-69",1,1
"403","uk_G1_700541",2,"30-39",2,2
"404","uk_G1_700542",1,"30-39",1,1
"405","uk_G1_700543",1,"18-29",1,1
"406","uk_G1_700544",2,"50-59",2,2
"407","uk_G1_700545",5,"50-59",5,5
"408","uk_G1_700546",4,"40-49",4,4
"409","uk_G1_700547",4,"60-69",4,4
"410","uk_G1_700548",14,"50-59",14,14
"411","uk_G1_700549",2,"50-59",2,2
"412","uk_G1_700550",1,"30-39",1,1
"413","uk_G1_700551",1,"60-69",1,1
"414","uk_G1_700552",3,"50-59",3,3
"415","uk_G1_700553",4,"40-49",4,4
"416","uk_G1_700554",2,"40-49",2,2
"417","uk_G1_700555",6,"30-39",6,6
"418","uk_G1_700556",3,"70-120",3,3
"419","uk_G1_700558",5,"40-49",5,5
"420","uk_G1_700559",1,"50-59",1,1
"421","uk_G1_700560",1,"60-69",1,1
"422","uk_G1_700561",9,"30-39",9,9
"423","uk_G1_700562",1,"30-39",1,1
"424","uk_G1_700563",1,"50-59",1,1
"425","uk_G1_700565",4,"60-69",4,4
"426","uk_G1_700566",1,"50-59",1,1
"427","uk_G1_700567",8,"70-120",8,8
"428","uk_G1_700568",7,"60-69",7,7
"429","uk_G1_700569",1,"40-49",1,1
"430","uk_G1_700570",14,"18-29",14,14
"431","uk_G1_700571",1,"30-39",1,1
"432","uk_G1_700572",1,"30-39",1,1
"433","uk_G1_700573",10,"50-59",10,10
"434","uk_G1_700574",2,"60-69",2,2
"435","uk_G1_700575",9,"60-69",9,9
"436","uk_G1_700576",1,"40-49",1,1
"437","uk_G1_700577",2,"70-120",2,2
"438","uk_G1_700578",6,"30-39",6,6
"439","uk_G1_700579",3,"30-39",3,3
"440","uk_G1_700581",3,"40-49",3,3
"441","uk_G1_700582",5,"18-29",5,5
"442","uk_G1_700583",3,"60-69",3,3
"443","uk_G1_700584",4,"40-49",4,4
"444","uk_G1_700586",3,"70-120",3,3
"445","uk_G1_700587",4,"30-39",4,4
"446","uk_G1_700589",1,"40-49",1,1
"447","uk_G1_700590",5,"70-120",5,5
"448","uk_G1_700591",9,"18-29",9,9
"449","uk_G1_700592",3,"40-49",3,3
"450","uk_G1_700593",4,"70-120",4,4
"451","uk_G1_700594",10,"30-39",10,10
"452","uk_G1_700595",3,"70-120",3,3
"453","uk_G1_700597",33,"30-39",20,33
"454","uk_G1_700598",31,"40-49",20,31
